model,attack,drift,eta_c_probability50,eta_c_boot_low,eta_c_boot_median,eta_c_boot_high,eta_c_ci_width,n_valid_bootstrap_boundaries
Finite-key margin,0.05,0.005,0.08768055555555555,0.08684071969696969,0.08765624999999999,0.08835625,0.0015155303030303102,160
Full UVIF,0.05,0.005,0.018993055555555558,0.018750000000000003,0.018986486486486487,0.019269704555457744,0.0005197045554577416,160
QBER only,0.05,0.005,0.09274528301886792,0.09234873182802351,0.09272749042145594,0.09318634326550387,0.0008376114374803595,160
UVIF without resource,0.05,0.005,0.019013698630136987,0.018821781255418762,0.019003048780487808,0.01927550204918033,0.0004537207937615681,160
Finite-key margin,0.1,0.005,0.0845111111111111,0.08378984374999998,0.08452083333333332,0.08500078124999999,0.0012109375000000089,160
Full UVIF,0.1,0.005,0.014838235294117649,0.01453675766283525,0.014832159624413147,0.015082191780821918,0.0005454341179866682,160
QBER only,0.1,0.005,0.090390625,0.0895665243902439,0.09045394736842105,0.09121596008158507,0.0016494356913411695,160
UVIF without resource,0.1,0.005,0.0150859375,0.014777651515151516,0.0150859375,0.01540909090909091,0.0006314393939393943,160
Finite-key margin,0.15,0.005,0.08198863636363636,0.08156534665991902,0.08197435897435897,0.08256386298421807,0.0009985163242990508,160
Full UVIF,0.15,0.005,0.01027450980392157,0.01,0.010336538461538461,0.010826742424242424,0.0008267424242424243,123
QBER only,0.15,0.005,0.08774468085106382,0.08691477272727272,0.08773086240310077,0.0882105446708464,0.0012957719435736786,160
UVIF without resource,0.15,0.005,0.010918032786885246,0.010451906565656565,0.010918032786885246,0.011243499909877434,0.000791593344220869,160
Finite-key margin,0.2,0.005,0.07963793103448276,0.0786875,0.07964961067853171,0.08051165625000001,0.0018241562500000141,160
Full UVIF,0.2,0.005,,,,,,0
QBER only,0.2,0.005,0.08452941176470588,0.08364583333333332,0.08463513513513513,0.08525124999999999,0.0016054166666666647,160
UVIF without resource,0.2,0.005,,,,,,0
Finite-key margin,0.25,0.005,0.0764054054054054,0.07567990121580546,0.07640277777777778,0.07720051470588236,0.0015206134900768997,160
Full UVIF,0.25,0.005,,,,,,0
QBER only,0.25,0.005,0.08178571428571428,0.08134505813953488,0.08178896585848588,0.08227976347780126,0.0009347053382663811,160
UVIF without resource,0.25,0.005,,,,,,0
Finite-key margin,0.3,0.005,0.07416666666666666,0.073559671875,0.07416666666666666,0.07471766591251885,0.0011579940375188585,160
Full UVIF,0.3,0.005,,,,,,0
QBER only,0.3,0.005,0.079,0.07851063829787235,0.07901015176374077,0.07973203125,0.0012213929521276562,160
UVIF without resource,0.3,0.005,,,,,,0
Finite-key margin,0.35,0.005,0.07093589743589744,0.07034405573376103,0.07094341432225065,0.07146464176829267,0.0011205860345316482,160
Full UVIF,0.35,0.005,,,,,,0
QBER only,0.35,0.005,0.07717021276595745,0.0764978125,0.07717164484451719,0.07766716101694915,0.0011693485169491508,160
UVIF without resource,0.35,0.005,,,,,,0
Finite-key margin,0.4,0.005,0.06835714285714287,0.06793746675531916,0.06833333333333334,0.06885750915750917,0.0009200424021900133,160
Full UVIF,0.4,0.005,,,,,,0
QBER only,0.4,0.005,0.074,0.07336671052631578,0.07406521739130434,0.07451172057109558,0.0011450100447797928,160
UVIF without resource,0.4,0.005,,,,,,0
Finite-key margin,0.05,0.01,0.0818780487804878,0.08133811274509803,0.08186190476190475,0.08241701388888889,0.0010789011437908613,160
Full UVIF,0.05,0.01,0.014136363636363636,0.0135,0.014160377358490565,0.01457310987903226,0.0010731098790322594,160
QBER only,0.05,0.01,0.08832432432432431,0.0874375,0.08830116279069766,0.0888847972972973,0.001447297297297298,160
