attack,drift,decision_regime,n_eta_points,eta_min,eta_max,uvif_score_mean,finite_key_margin_mean,resource_force_mean
0.05,0.005,insecure_suspend_or_rekey,49,0.052000000000000005,0.22,0.17393529927671586,-0.2391190005934739,0.007329808692499107
0.05,0.005,warning_reduce_risk,9,0.0205,0.0485,0.43977757277481033,0.38464742504631966,0.007329808692499107
0.05,0.005,watch_adapt,3,0.01,0.017,0.5216369822003742,0.5758218677095793,0.007329808692499107
0.05,0.01,insecure_suspend_or_rekey,50,0.0485,0.22,0.1682789378603913,-0.2588313241862765,0.010152544552210818
0.05,0.01,warning_reduce_risk,9,0.017,0.045000000000000005,0.43390139316805976,0.3706467684511552,0.010152544552210818
0.05,0.01,watch_adapt,2,0.01,0.0135,0.5080708324907796,0.5407963635291431,0.010152544552210818
0.05,0.02,insecure_suspend_or_rekey,53,0.038,0.22,0.16150831554883543,-0.28737977432437467,0.01586994446437262
0.05,0.02,warning_reduce_risk,8,0.01,0.0345,0.42709919989359796,0.3534607001404179,0.01586994446437262
0.05,0.03,insecure_suspend_or_rekey,56,0.027500000000000004,0.22,0.1552211477190337,-0.3156646435659938,0.021685536805190465
0.05,0.03,warning_reduce_risk,5,0.01,0.024,0.40724992623443823,0.30758384127478583,0.021685536805190465
0.1,0.005,insecure_suspend_or_rekey,50,0.0485,0.22,0.16970707584070002,-0.24341383379320594,0.011961234531527198
0.1,0.005,warning_reduce_risk,9,0.017,0.045000000000000005,0.4372359772626318,0.39185020718021185,0.011961234531527198
0.1,0.005,watch_adapt,2,0.01,0.0135,0.5117728423517347,0.5653838232063232,0.011961234531527198
0.1,0.01,insecure_suspend_or_rekey,52,0.0415,0.22,0.1685133108361826,-0.25235535372188694,0.014823195145212242
0.1,0.01,warning_reduce_risk,9,0.01,0.038,0.4434972443079441,0.4050288034166549,0.014823195145212242
0.1,0.02,insecure_suspend_or_rekey,55,0.031,0.22,0.16180325561915318,-0.28117759137057485,0.02062072615965761
0.1,0.02,warning_reduce_risk,6,0.01,0.027500000000000004,0.42380920671749256,0.3583548098430591,0.02062072615965761
0.1,0.03,insecure_suspend_or_rekey,58,0.0205,0.22,0.15564516955754898,-0.30906153961887184,0.026518767372607287
0.1,0.03,warning_reduce_risk,3,0.01,0.017,0.4052570086066298,0.31542071237641117,0.026518767372607287
0.15,0.005,insecure_suspend_or_rekey,52,0.0415,0.22,0.1699554876672752,-0.2369433982322078,0.0166571355506977
0.15,0.005,warning_reduce_risk,8,0.0135,0.038,0.44024983233739695,0.4111856564459608,0.0166571355506977
0.15,0.005,watch_adapt,1,0.01,0.01,0.5004509515574057,0.5516119284388714,0.0166571355506977
0.15,0.01,insecure_suspend_or_rekey,53,0.038,0.22,0.16452723393323718,-0.2564102102131246,0.01955923785773206
0.15,0.01,warning_reduce_risk,8,0.01,0.0345,0.43375159799687185,0.395687284187273,0.01955923785773206
0.15,0.02,insecure_suspend_or_rekey,56,0.027500000000000004,0.22,0.15793266309106044,-0.285220645508245,0.025438789411978746
0.15,0.02,warning_reduce_risk,5,0.01,0.024,0.4138056574397294,0.34880684966160475,0.025438789411978746
0.15,0.03,insecure_suspend_or_rekey,59,0.017,0.22,0.15200282948392138,-0.3130074552239692,0.03142124625879351
0.15,0.03,warning_reduce_risk,2,0.01,0.0135,0.39461356435710737,0.3046215319380514,0.03142124625879351
0.2,0.005,insecure_suspend_or_rekey,53,0.038,0.22,0.16597952714516562,-0.2410071027508528,0.021419021726492675
0.2,0.005,warning_reduce_risk,8,0.01,0.0345,0.4377854972425703,0.41879725368934767,0.02141902172649267
0.2,0.01,insecure_suspend_or_rekey,54,0.0345,0.22,0.16054811538439026,-0.2605380341651892,0.02436221295830275
0.2,0.01,warning_reduce_risk,7,0.01,0.031,0.4247175737074479,0.3880262610328953,0.024362212958302754
0.2,0.02,insecure_suspend_or_rekey,57,0.024,0.22,0.15429468979234418,-0.2888825313884594,0.030325737456554425
0.2,0.02,warning_reduce_risk,4,0.01,0.0205,0.4042857614124659,0.3402810418604557,0.030325737456554425
0.2,0.03,insecure_suspend_or_rekey,60,0.0135,0.22,0.14844320377710704,-0.31688343424563115,0.036394643014302515
0.2,0.03,warning_reduce_risk,1,0.01,0.01,0.3851834739461434,0.2963345366484283,0.036394643014302515
0.25,0.005,insecure_suspend_or_rekey,54,0.0345,0.22,0.16216097298485235,-0.24473320551144223,0.026248453011798775
0.25,0.005,warning_reduce_risk,7,0.01,0.031,0.4276473059842622,0.40855213260604534,0.02624845301179878
