drift,attack,eta,p_qber_only,p_finite_key_margin,p_uvif_no_resource,p_full_uvif,qber_obs_mean,finite_key_margin_mean,uvif_score_no_resource_mean,uvif_score_full_mean,resource_force_mean
0.005,0.05,0.01,1.0,1.0,1.0,1.0,0.026646372399797058,0.6126397409692648,0.5368773591071867,0.5358750078340491,0.007329808692499107
0.005,0.05,0.0135,1.0,1.0,1.0,1.0,0.030486047691527143,0.5735409696420054,0.5219306936083313,0.5209248580010474,0.007329808692499107
0.005,0.05,0.017,1.0,1.0,0.92,0.91,0.03376864535768645,0.541284892517468,0.5091184494108573,0.5081110807660265,0.007329808692499107
0.005,0.05,0.0205,1.0,1.0,0.19,0.19,0.03760832064941654,0.5047673380809712,0.4941094128955506,0.4931019490326722,0.007329808692499107
0.005,0.05,0.024,1.0,1.0,0.02,0.01,0.04117503805175038,0.47198613793932376,0.4801717179880051,0.479165929408869,0.007329808692499107
0.005,0.05,0.027500000000000004,1.0,1.0,0.0,0.0,0.044531709791983766,0.44180487922746103,0.4671125338653694,0.46610943221737555,0.007329808692499107
0.005,0.05,0.031,1.0,1.0,0.0,0.0,0.04772704211060375,0.4138371731365132,0.4547222854068327,0.45372307765123954,0.007329808692499107
0.005,0.05,0.0345,1.0,1.0,0.0,0.0,0.05124099441907661,0.38390894342834664,0.4411691105286591,0.4401757327782325,0.007329808692499107
0.005,0.05,0.038,1.0,1.0,0.0,0.0,0.054996448503297816,0.35268053651296005,0.42681088725656474,0.4258251960259102,0.007329808692499107
0.005,0.05,0.0415,1.0,1.0,0.0,0.0,0.05822425164890919,0.32647375944078555,0.41458956054808027,0.41361172924807804,0.007329808692499107
0.005,0.05,0.045000000000000005,1.0,1.0,0.0,0.0,0.061943176052765093,0.296994583539281,0.4006689757044819,0.39970164385822166,0.007329808692499107
0.005,0.05,0.0485,1.0,1.0,0.0,0.0,0.06549771689497716,0.2693734741112343,0.3875396636782949,0.3865834647526944,0.007329808692499107
0.005,0.05,0.052000000000000005,1.0,1.0,0.0,0.0,0.06902181633688483,0.2426971189445895,0.37473825634619684,0.37379452047396433,0.007329808692499107
0.005,0.05,0.0555,1.0,1.0,0.0,0.0,0.07293150684931507,0.21364570691736504,0.3607678565122095,0.3598389774016278,0.007329808692499107
0.005,0.05,0.059000000000000004,1.0,1.0,0.0,0.0,0.07608726534753933,0.19073613557245733,0.3497155253086919,0.3487996550888412,0.007329808692499107
0.005,0.05,0.0625,1.0,1.0,0.0,0.0,0.07957990867579909,0.16582344327302226,0.3377009565473095,0.33680026463268076,0.007329808692499107
0.005,0.05,0.066,1.0,1.0,0.0,0.0,0.08320852359208523,0.14046331475044016,0.32550717368930954,0.32462310336767386,0.007329808692499107
0.005,0.05,0.0695,1.0,1.0,0.0,0.0,0.08597666159309995,0.12143605389711984,0.31638457908778705,0.3155136857047417,0.007329808692499107
0.005,0.05,0.073,1.0,1.0,0.0,0.0,0.08993505834601725,0.09472487430080148,0.30365215345784835,0.302800794516296,0.007329808692499107
0.005,0.05,0.0765,1.0,1.0,0.0,0.0,0.09321156773211568,0.07303003089379938,0.2933888718220421,0.29255419564604707,0.007329808692499107
0.005,0.05,0.08,1.0,0.99,0.0,0.0,0.09650329781836631,0.051582756970773254,0.2833186239207219,0.28250109337749774,0.007329808692499107
0.005,0.05,0.08349999999999999,1.0,0.93,0.0,0.0,0.10047387113140538,0.02621224081506034,0.2715366561368881,0.27074027412623597,0.007329808692499107
0.005,0.05,0.087,0.97,0.57,0.0,0.0,0.1038863521055302,0.004805230215695846,0.261717728051664,0.26093980887468965,0.007329808692499107
0.005,0.05,0.0905,0.84,0.21,0.0,0.0,0.10721664129883308,-0.015726279289814477,0.25241526918959245,0.2516555799446895,0.007329808692499107
0.005,0.05,0.094,0.31,0.01,0.0,0.0,0.11127549467275495,-0.04029616057347104,0.24145159971887936,0.24071429538830227,0.007329808692499107
0.005,0.05,0.0975,0.06,0.0,0.0,0.0,0.11456418061897514,-0.05988419692112714,0.23284740404109378,0.23212827625362198,0.007329808692499107
0.005,0.05,0.10099999999999999,0.01,0.0,0.0,0.0,0.11823033992897006,-0.08131827033553778,0.22358906762997827,0.2228902372941527,0.007329808692499107
0.005,0.05,0.1045,0.0,0.0,0.0,0.0,0.1214236428209031,-0.09966516162577731,0.21580399438339204,0.21512279775926718,0.007329808692499107
0.005,0.05,0.108,0.0,0.0,0.0,0.0,0.1250908168442415,-0.12044309092392505,0.20713307458959285,0.20647201058002854,0.007329808692499107
0.005,0.05,0.1115,0.0,0.0,0.0,0.0,0.12882293252156266,-0.14119814332921654,0.19865453046419912,0.19801377441329507,0.007329808692499107
0.005,0.05,0.11499999999999999,0.0,0.0,0.0,0.0,0.13207102993404363,-0.1589618494785557,0.19154148972597507,0.19091822874677353,0.007329808692499107
0.005,0.05,0.1185,0.0,0.0,0.0,0.0,0.1356052765093861,-0.17803555980011462,0.18404596689075414,0.18344151551925428,0.007329808692499107
0.005,0.05,0.122,0.0,0.0,0.0,0.0,0.1392105530187722,-0.19714747861723192,0.1767009309320113,0.17611538739820712,0.007329808692499107
0.005,0.05,0.1255,0.0,0.0,0.0,0.0,0.14200101471334348,-0.21170522956540838,0.171223347384984,0.17065221271232495,0.007329808692499107
0.005,0.05,0.129,0.0,0.0,0.0,0.0,0.14556671740233385,-0.23009327512268576,0.16442915133146985,0.16387615606663355,0.007329808692499107
0.005,0.05,0.1325,0.0,0.0,0.0,0.0,0.14945611364789446,-0.2497727431138528,0.15735101570096297,0.15681736144439773,0.007329808692499107
0.005,0.05,0.136,0.0,0.0,0.0,0.0,0.1524677828513445,-0.2647242327563426,0.15210723403032342,0.15158822314167397,0.007329808692499107
0.005,0.05,0.1395,0.0,0.0,0.0,0.0,0.15607508878741755,-0.2824911555989694,0.14597244243050908,0.14547071098439335,0.007329808692499107
