phase_margin,attack,drift,eta_c_conventional_psecure50,eta_c_uvif_pstable50,eta_c_uvif_score50
0.01,0.05,0.005,0.08756756756756756,,0.01889143404065175
0.01,0.1,0.005,0.08426829268292682,,0.014798962379438424
0.01,0.15,0.005,0.08182608695652173,,0.010119292302054791
0.01,0.2,0.005,0.07941666666666666,,
0.01,0.25,0.005,0.07631578947368421,,
0.01,0.3,0.005,0.07379999999999999,,
0.01,0.35,0.005,0.07069512195121952,,
0.01,0.4,0.005,0.06815384615384616,,
0.01,0.05,0.01,0.08179268292682926,,0.01387931811921324
0.01,0.1,0.01,0.07875555555555555,,
0.01,0.15,0.01,0.07598780487804878,,
0.01,0.2,0.01,0.07347297297297296,,
0.01,0.25,0.01,0.0704,,
0.01,0.3,0.01,0.06821951219512196,,
0.01,0.35,0.01,0.06608139534883721,,
0.01,0.4,0.01,0.06211111111111111,,
0.01,0.05,0.02,0.07099074074074074,,
0.01,0.1,0.02,0.06830263157894738,,
0.01,0.15,0.02,0.0650108695652174,,
0.01,0.2,0.02,0.0623,,
0.01,0.25,0.02,0.06019512195121952,,
0.01,0.3,0.02,0.05717708333333334,,
0.01,0.35,0.02,0.05427906976744186,,
0.01,0.4,0.02,0.05131707317073171,,
0.01,0.05,0.03,0.059333333333333335,,
0.01,0.1,0.03,0.05701136363636364,,
0.01,0.15,0.03,0.05371818181818182,,
0.01,0.2,0.03,0.05171621621621622,,
0.01,0.25,0.03,0.049014705882352946,,
0.01,0.3,0.03,0.045525,,
0.01,0.35,0.03,0.04296511627906977,,
0.01,0.4,0.03,0.04,,
0.02,0.05,0.005,0.08755263157894737,,0.01889143404065175
0.02,0.1,0.005,0.08418292682926828,,0.014798962379438424
0.02,0.15,0.005,0.08178723404255318,,0.010119292302054791
0.02,0.2,0.005,0.07893939393939393,,
0.02,0.25,0.005,0.076,,
0.02,0.3,0.005,0.0737,,
0.02,0.35,0.005,0.07069512195121952,,
0.02,0.4,0.005,0.06799019607843138,,
0.02,0.05,0.01,0.08170930232558139,,0.01387931811921324
0.02,0.1,0.01,0.07851063829787235,,
0.02,0.15,0.01,0.07591666666666666,,
0.02,0.2,0.01,0.07309210526315789,,
0.02,0.25,0.01,0.07022058823529412,,
0.02,0.3,0.01,0.06790909090909092,,
0.02,0.35,0.01,0.06579411764705882,,
0.02,0.4,0.01,0.06174324324324324,,
0.02,0.05,0.02,0.0709,,
0.02,0.1,0.02,0.06803488372093024,,
0.02,0.15,0.02,0.06488297872340426,,
0.02,0.2,0.02,0.06194736842105263,,
0.02,0.25,0.02,0.059913043478260875,,
0.02,0.3,0.02,0.05711,,
0.02,0.35,0.02,0.05422727272727273,,
0.02,0.4,0.02,0.051231707317073175,,
0.02,0.05,0.03,0.05916666666666667,,
0.02,0.1,0.03,0.05688372093023256,,
0.02,0.15,0.03,0.053620370370370374,,
0.02,0.2,0.03,0.051513888888888894,,
0.02,0.25,0.03,0.0488,,
0.02,0.3,0.03,0.045262500000000004,,
0.02,0.35,0.03,0.04280232558139535,,
0.02,0.4,0.03,0.03989583333333333,,
0.03,0.05,0.005,0.08738888888888888,,0.01889143404065175
0.03,0.1,0.005,0.08411249999999999,,0.014798962379438424
0.03,0.15,0.005,0.08167391304347826,,0.010119292302054791
0.03,0.2,0.005,0.07893939393939393,,
0.03,0.25,0.005,0.07586363636363636,,
0.03,0.3,0.005,0.07353030303030303,,
0.03,0.35,0.005,0.07033333333333333,,
0.03,0.4,0.005,0.06791509433962264,,
0.03,0.05,0.01,0.0816219512195122,,0.01387931811921324
0.03,0.1,0.01,0.07842857142857143,,
0.03,0.15,0.01,0.075625,,
0.03,0.2,0.01,0.073,,
0.03,0.25,0.01,0.069828125,,
0.03,0.3,0.01,0.06787209302325582,,
0.03,0.35,0.01,0.06546969696969697,,
0.03,0.4,0.01,0.0616025641025641,,
0.03,0.05,0.02,0.07083636363636364,,
0.03,0.1,0.02,0.06795348837209303,,
0.03,0.15,0.02,0.06483333333333334,,
0.03,0.2,0.02,0.0618,,
0.03,0.25,0.02,0.05981914893617021,,
0.03,0.3,0.02,0.057,,
0.03,0.35,0.02,0.05406818181818182,,
0.03,0.4,0.02,0.0512125,,
0.03,0.05,0.03,0.05891463414634147,,
0.03,0.1,0.03,0.05678048780487805,,
0.03,0.15,0.03,0.053452830188679246,,
0.03,0.2,0.03,0.051125000000000004,,
0.03,0.25,0.03,0.0487,,
0.03,0.3,0.03,0.045262500000000004,,
0.03,0.35,0.03,0.04266666666666667,,
0.03,0.4,0.03,0.039785714285714285,,
0.05,0.05,0.005,0.08681081081081081,,0.01889143404065175
0.05,0.1,0.005,0.08385,,0.014798962379438424
0.05,0.15,0.005,0.08152173913043478,,0.010119292302054791
0.05,0.2,0.005,0.07866176470588235,,
0.05,0.25,0.005,0.07558695652173913,,
0.05,0.3,0.005,0.073,,
0.05,0.35,0.005,0.070025,,
0.05,0.4,0.005,0.06754,,
0.05,0.05,0.01,0.08136585365853659,,0.01387931811921324
0.05,0.1,0.01,0.0780188679245283,,
0.05,0.15,0.01,0.07522727272727273,,
0.05,0.2,0.01,0.07252702702702703,,
0.05,0.25,0.01,0.0694125,,
0.05,0.3,0.01,0.06716666666666667,,
0.05,0.35,0.01,0.065125,,
0.05,0.4,0.01,0.06133333333333334,,
0.05,0.05,0.02,0.07052941176470588,,
0.05,0.1,0.02,0.06755555555555556,,
0.05,0.15,0.02,0.06469607843137255,,
0.05,0.2,0.02,0.06152325581395349,,
0.05,0.25,0.02,0.059175000000000005,,
0.05,0.3,0.02,0.05677272727272727,,
0.05,0.35,0.02,0.0536625,,
0.05,0.4,0.02,0.050833333333333335,,
0.05,0.05,0.03,0.05873076923076923,,
0.05,0.1,0.03,0.0565,,
0.05,0.15,0.03,0.05326,,
0.05,0.2,0.03,0.050775,,
0.05,0.25,0.03,0.048281250000000005,,
0.05,0.3,0.03,0.04478787878787879,,
0.05,0.35,0.03,0.042375,,
0.05,0.4,0.03,0.03947777777777778,,
